了	54005
寶可夢	29615
我	29094
招式	26746
你	24879
妳	24008
在	22399
石像	21666
會	20905
使出	18014
對手	17552
是	16014
就	12062
學習	11138
吧	11037
器	10935
使用	9313
讓	8853
也	8749
喔	8576
無法	8572
能	8438
要	8392
和	8104
有	8086
野生	7918
啊	7558
攻擊	7416
後	7330
嗎	7060
呢	6836
對戰	6818
都	6352
糖果	6018
紀錄	5968
用	5821
很	5612
但	5557
此	5492
忘記	5414
我們	5302
自己	5266
想	5104
為	5083
到	5002
來	4875
這裡	4842
訓練	4718
好	4556
不	4524
對	4518
家	4513
屬性	4488
著	4427
再	4412
雖然	4358
什麼	4267
牠	4258
化石	4222
還是	4175
進行	4112
可以	3977
提高	3960
請	3806
、	3796
被	3796
去	3651
起來	3618
力量	3606
地	3447
時	3428
出現	3421
這個	3384
上	3352
攜帶	3314
把	3311
中	3283
人	3234
「	3184
」	3184
您	3080
從	3016
貼紙	3011
石板	2990
這	2953
那	2828
建議	2770
就是	2746
沒有	2687
球	2663
嗯	2629
的話	2596
後將	2554
降低	2546
不會	2544
地帶	2496
跟	2489
啦	2480
已經	2456
個	2446
超級	2426
曠野	2424
之	2418
變得	2406
當天	2400
瞭望塔	2400
巨巢	2400
所以	2381
向	2348
好像	2330
隻	2298
狀態	2248
大賽	2238
那麼	2218
而	2217
受到	2204
得	2200
台座	2184
威力	2096
一起	2074
哦	2072
將	2050
華麗	2048
裡	2031
大	2030
速度	2009
所有	1979
效果	1978
這樣	1946
現在	1936
正在	1915
岩石	1912
真是	1906
說	1900
如果	1862
開始	1856
地方	1838
看	1835
喜歡	1823
火焰	1792
交換	1766
戰鬥	1760
陷入	1752
道館	1751
又	1732
看看	1704
能力	1696
有時	1680
防禦	1680
復	1664
因為	1663
只要	1654
更	1645
神奇	1634
銀河	1632
身體	1624
非常	1622
道路	1614
多	1613
東西	1562
道具	1556
可	1532
傷害	1528
獸	1512
回	1509
與	1492
等	1489
洛	1488
知道	1464
碎片	1456
樹果	1453
龍	1451
它	1443
像	1429
才	1423
地區	1416
厲害	1400
他	1400
隊	1397
寶芬	1389
特攻	1389
號	1377
充滿	1368
樣子	1356
回合	1336
托姆	1328
大幅提高	1328
特防	1327
選擇	1322
呀	1319
參加	1316
時候	1313
容易	1312
資料卡	1296
下次	1288
一個	1280
獲得	1264
大家	1264
已	1261
獎章	1256
以	1250
今天	1247
連線	1246
下	1245
出	1243
或	1240
強化	1232
這麼	1229
一樣	1226
寶可	1225
進化	1208
寶石	1192
館主	1191
地下	1184
挑戰	1184
薄荷	1176
沒	1170
錶	1168
一定	1163
事	1153
再來	1152
石	1133
小	1125
就算	1123
做	1123
洞窟	1120
鑰匙	1112
發現	1104
時間	1088
圖鑑	1082
太	1081
能量	1080
輸	1077
怎麼	1074
這種	1066
哎呀	1066
神奧	1064
囉	1056
那裡	1044
進	1041
一種	1036
不同	1032
特定	1032
應該	1032
比	1028
們	1024
秘密	1019
基地	1018
自行車	1010
但是	1010
蛋	1007
能夠	1006
之後	1000
可是	992
王	992
這是	988
種子	984
還	982
那個	982
竟然	982
不是	976
記憶	976
不過	968
世界	966
真的	963
碟	960
得到	950
怪	944
先	940
看起來	936
這次	936
內	935
市	935
找	934
好好	930
身上	928
使	926
覺得	912
哇	907
地面	906
吃	903
感覺	902
博士	896
所	889
消失	889
開心	888
據說	886
紅色	880
結束	880
謝謝	872
因	872
一下	869
美麗	864
增強	864
確定	862
變成	856
草	854
一次	854
最	849
要是	846
我要	840
水	840
治癒	840
尾巴	840
獵物	840
接收	816
精神	808
鍛鍊	808
嘛	807
很多	807
可愛	800
擁有	800
有點	800
一直	800
成長	798
公園	794
不能	788
來到	785
歡迎	784
唔	784
體力	784
還有	782
一	775
不要	768
朋友	766
料理	760
聽說	760
火	757
徽章	752
我會	752
夥伴	752
特性	744
周圍	738
其他	730
毒	729
果	724
聯盟	714
一點	714
看來	713
球殼	712
古代	712
找到	708
冒險	704
活力	704
傳說	704
捕捉	700
出來	696
繼續	694
當	693
發出	690
只是	688
變化	688
秘傳	686
大幅	686
走	685
發生	680
製作	676
很強	676
似乎	673
鳥	672
喵	672
石頭	672
培育	672
想要	668
空間	666
努力	664
灼傷	664
性格	664
製造	657
一般	650
花瓣	648
並	647
該	647
戰塔	645
按	640
心情	640
之前	640
隊伍	640
郵件	640
給	633
應用程式	632
堅硬	632
冠軍	632
正	632
透過	630
進入	630
次	624
　	624
相同	618
準備	618
升級	616
可能	610
生活	608
強大	608
極	608
中毒	600
伊布	600
保護	600
你們	600
她	596
由	595
而且	592
完全	592
叫	592
結晶	592
規則	591
聽	590
挖掘	590
總是	584
麻痺	584
防守	584
重要	576
行動	576
問題	576
希望	576
任何	574
以上	574
事情	572
館	569
移動	568
鴨	568
神秘	568
再見	568
命中率	568
然後	567
對方	566
各種	562
加油	562
呵呵	560
怎麼樣	560
送給	560
果然	553
尋找	552
手下	552
妖精	552
其	552
給予	552
實力	552
命中	552
看到	546
他們	544
替換	544
改變	544
飛行	544
需要	542
特殊	542
只有	540
用來	538
欸	536
冰凍	536
拳	536
之一	534
心	528
太陽	528
碰碰	528
成為	525
森林	520
完成	520
寶珠	520
根據	520
超能力	520
冰	520
混亂	520
盒子	512
裡面	512
遇到	512
加入	512
告訴	512
哪裡	512
藍色	512
之羽	511
星星	504
薰香	504
真	502
成	498
交誼廳	498
點數	498
學會	498
許多	496
相當	496
狩獵	496
產生	496
某種	496
送	495
住	493
玫瑰	492
這位	492
月	492
中心	490
作為	489
最後	488
抱歉	488
結果	488
平時	488
更強	488
不管	487
哪	486
勝利	482
小心	480
精靈	480
皮卡丘	480
熔岩	480
證明	480
互換	480
遊戲	478
退出	476
快	474
一場	472
等待	472
幫	472
禮物	472
帶	472
連續	472
跑	472
翅膀	472
發射	472
有著	466
因此	464
百代	464
讚	464
休息	464
花	464
等級	464
劇毒	464
工作	464
誰	463
長	459
變強	456
帥氣	456
聚集	456
感受	456
卻	456
不夠	456
吸取	456
是不是	456
喲	456
閃避	456
其實	454
享受	452
玩	451
辦法	450
上次	450
若	449
不斷	448
物品	448
帷幕	448
比較	448
叫做	448
收下	448
蘑菇	448
黑色	448
護符	448
黃色	448
鱗片	448
真是太	448
放棄	440
以前	440
全身	440
妙蛙	440
紀念	440
天氣	440
到底	440
傢伙	440
氣勢	440
剛才	439
查看	436
寄放	434
釣竿	432
剛剛	432
幸福	432
圓形	432
人類	432
劑	432
就讓	430
採訪	430
之力	430
利用	426
只	425
內容	424
期待	424
強壯	424
黑暗	424
雷電	424
樓	423
拿	421
打	421
群組	420
靠	420
前往	418
活動	418
筆記	416
提升	416
名字	416
幽靈	416
更加	416
不論	416
由於	416
黑金	416
打倒	416
有沒有	416
上面	416
場地	416
絕佳	416
裝飾	415
遺跡	414
裡的	411
混合	410
高興	408
即使	408
蛇	408
不錯	408
發電廠	408
鋼鐵	408
之證	408
鋼	407
路	405
有些	404
說不定	404
嘿	404
人們	400
新	400
這些	400
探險	400
過去	400
愛心	400
挖	400
這座	400
經驗	400
龜	400
哞	400
討厭	400
球果	400
湖	399
口袋	392
牆壁	392
接下來	392
未來	392
隕石	392
收看	392
我方	392
越	391
返回	390
說明	388
咦	388
玉	384
關係	384
大海	384
飄浮	384
可達	384
美味	384
如何	384
逃走	384
日	380
稱	380
是號	378
貼	376
雞	376
未知	376
斬	376
棲息	376
每天	376
孩子	376
調查	376
透明	376
信	376
露營	376
物	375
才能	372
增加	368
種類	368
只能	368
謎	368
不了	368
收集	368
電擊	368
鱷	368
沒錯	368
銀色	368
異常	368
動	366
過	365
波	365
持有	362
包包	360
組合	360
目標	360
雙打	360
曾經	360
皮皮	360
過來	360
葉子	360
水流	360
交給	360
捉	360
花朵	360
馬	360
電視	360
貝殼	360
爪子	360
宇宙	360
牽絆	360
擊中要害	360
耶	358
率	358
切換	352
寶物	352
散發	352
漂亮	352
惡	352
明明	352
粉	352
綠色	352
大地	352
級別	352
擅長	352
一邊	352
鏡	352
之石	352
全球	350
原來	350
極限	344
動作	344
光芒	344
看過	344
格鬥	344
卡拉	344
奈克	344
別人	344
游泳	344
氣味	344
既然	344
拜託	344
玻璃	344
注意	342
一些	340
連	340
寶可夢會	340
隨著	338
叫聲	338
般的	337
成功	336
願意	336
尾	336
相信	336
輸給	336
忍者	336
強烈	336
瞬間	336
釣魚	336
掉	336
守護	336
呵	335
決定	334
進去	334
前	333
各式各樣	330
我輸	330
山梨	328
廣場	328
什麼樣	328
資料	328
不行	328
天冠山	328
城市	328
光束	328
魚的	328
那邊	328
寫	328
當然	328
寶可夢道	328
最強	328
彼此	324
草叢	322
通訊	320
